id,name,name_zh,hex,brand_code,count
black,Black,黑色,#111515,,1
charcoal,Charcoal,炭黑,#273033,,0
gray,Gray,灰色,#596564,,0
warm-white,Warm White,暖白,#F7F4EA,,113
red,Red,红色,#E53935,,0
orange,Orange,橙色,#FB8C00,,209
yellow,Yellow,黄色,#FFE000,,194
lime,Lime,荧光绿,#69E51C,,0
green,Green,绿色,#00B66A,,0
dark-green,Dark Green,深绿,#087A52,,0
turquoise,Turquoise,青绿,#00CFC1,,0
blue,Blue,蓝色,#2684FF,,0
purple,Purple,紫色,#8E44AD,,0
pink,Pink,粉色,#FF6FAE,,0
brown,Brown,棕色,#76503A,,144
tan,Tan,浅棕,#C49A6C,,58
